No,Compound,Best Pose,PLANTS Score
66,Caffeine_spores,Caffeine_spores_entry_00001_conf_01,-73.2396
67,Native_Ligand_spores,Native_Ligand_spores_entry_00001_conf_01,-72.7689
68,Erythromycin_E_spores,Erythromycin_E_spores_entry_00001_conf_01,-72.6986
69,Theobromine_spores,Theobromine_spores_entry_00001_conf_01,-72.3702
70,Methyl_N-methylanthranilate_spores,Methyl_N-methylanthranilate_spores_entry_00001_conf_01,-72.0559
71,Undecanoic_acid__10-methyl-__methyl_ester_spores,Undecanoic_acid__10-methyl-__methyl_ester_spores_entry_00001_conf_01,-71.9008
72,Theophylline_spores,Theophylline_spores_entry_00001_conf_01,-71.0871
73,4-Androsten-6α-ol-3_17-dione_spores,4-Androsten-6α-ol-3_17-dione_spores_entry_00001_conf_01,-70.8842
74,Caffeic_acid_spores,Caffeic_acid_spores_entry_00001_conf_01,-70.7982
75,5-Hexenoic_acid___9-decen-2-yl__ester_spores,5-Hexenoic_acid___9-decen-2-yl__ester_spores_entry_00001_conf_01,-70.7507
76,Hyperoside_spores,Hyperoside_spores_entry_00001_conf_01,-70.4286
77,Vanillic_acid_spores,Vanillic_acid_spores_entry_00001_conf_01,-70.3294
78,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores_entry_00001_conf_01,-70.2534
79,Theacrine_spores,Theacrine_spores_entry_00001_conf_01,-70.2031
80,2-Octen-1-ol__3_7-dimethyl-_spores,2-Octen-1-ol__3_7-dimethyl-_spores_entry_00001_conf_01,-70.1301
81,Quercetin_hexoside_spores,Quercetin_hexoside_spores_entry_00001_conf_01,-69.823
82,Myricitrin_spores,Myricitrin_spores_entry_00001_conf_01,-69.3454
83,2-Cyclohexylpiperidine_spores,2-Cyclohexylpiperidine_spores_entry_00001_conf_01,-67.8116
84,2_3-Butanediol_glucoside_spores,2_3-Butanediol_glucoside_spores_entry_00001_conf_01,-67.1603
85,Euphornin_spores,Euphornin_spores_entry_00001_conf_01,-66.2236
86,Fabianine_spores,Fabianine_spores_entry_00001_conf_01,-66.0188
87,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores_entry_00001_conf_01,-65.7275
88,2H-1-Benzopyran-2-one_spores,2H-1-Benzopyran-2-one_spores_entry_00001_conf_01,-64.8167
89,1-Decen-3-yne_spores,1-Decen-3-yne_spores_entry_00001_conf_01,-64.7359
90,2_5-di-tert-Butylalanine_spores,2_5-di-tert-Butylalanine_spores_entry_00001_conf_01,-64.1827
91,1_2-Epoxynonane_spores,1_2-Epoxynonane_spores_entry_00001_conf_01,-63.6525
92,Androsterone_spores,Androsterone_spores_entry_00001_conf_01,-63.4147
93,Resorcinol_spores,Resorcinol_spores_entry_00001_conf_01,-62.3896
94,Thujopsene-_12__spores,Thujopsene-_12__spores_entry_00001_conf_01,-58.7849
95,Piperazine__1_4-di_thiobenzoyl_-_spores,Piperazine__1_4-di_thiobenzoyl_-_spores_entry_00001_conf_01,-55.0109
96,Piperidine__1-hydroxy-_spores,Piperidine__1-hydroxy-_spores_entry_00001_conf_01,-54.381
97,Propanol__2_2-dimethyl-__oxime_spores,Propanol__2_2-dimethyl-__oxime_spores_entry_00001_conf_01,-51.3775
98,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores_entry_00001_conf_01,-44.2958
