No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score
88,1-Decen-3-yne,6,-5.37,0.6575,4.633,89,1-Decen-3-yne_spores_entry_00001_conf_01,-64.7359
89,Methoxyacetic_acid__heptadecyl_ester,1,-5.23,0.6061,5.527,24,Methoxyacetic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-86.4692
90,6-Heneicosen-11-one__Z_,3,-5.22,0.373,4.786,43,6-Heneicosen-11-one__Z__spores_entry_00001_conf_01,-80.5164
91,2-Octen-1-ol__3_7-dimethyl-,5,-5.19,0.5164,4.514,80,2-Octen-1-ol__3_7-dimethyl-_spores_entry_00001_conf_01,-70.1301
92,Methyl-7-oxopentadecanoate,6,-5.17,0.4421,4.705,57,Methyl-7-oxopentadecanoate_spores_entry_00001_conf_01,-75.8153
93,Oxirane___hexadecyloxy_methyl-,7,-5.13,0.3696,4.551,42,Oxirane___hexadecyloxy_methyl-_spores_entry_00001_conf_01,-80.5426
94,1_2-Epoxynonane,9,-5.11,0.6201,3.62,91,1_2-Epoxynonane_spores_entry_00001_conf_01,-63.6525
95,Z_Z-8_10-Hexadecadien-1-ol,5,-4.99,0.4351,4.352,51,Z_Z-8_10-Hexadecadien-1-ol_spores_entry_00001_conf_01,-77.7648
96,Benzene_acetic_acid__pentadecyl_ester,8,-4.94,0.389,4.672,49,Benzene_acetic_acid__pentadecyl_ester_spores_entry_00001_conf_01,-78.4555
97,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-,7,-4.74,0.6736,3.589,98,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores_entry_00001_conf_01,-44.2958
98,Piperidine__1-hydroxy-,2,-4.58,0.6743,3.261,96,Piperidine__1-hydroxy-_spores_entry_00001_conf_01,-54.381
99,Propanol__2_2-dimethyl-__oxime,8,-4.53,0.645,3.387,97,Propanol__2_2-dimethyl-__oxime_spores_entry_00001_conf_01,-51.3775
