No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score,GNINA_norm,PLANTS_norm,Consensus Score
59,Glycophymoline,8,-6.81,0.5319,4.767,60,Glycophymoline_spores_entry_00001_conf_01,-74.8829,0.3175487465181057,0.4088189772007346,0.3631838618594202
77,Nonadecane-2_4-dione,9,-5.84,0.3415,5.442,38,Nonadecane-2_4-dione_spores_entry_00001_conf_01,-82.9926,0.1824512534818941,0.517211052925625,0.3498311532037595
73,Oleic_acid,2,-6.0,0.5569,5.011,41,Oleic_acid_spores_entry_00001_conf_01,-81.1196,0.2047353760445682,0.49217703713802263,0.3484562065912954
87,Heneicosanoic_acid__methyl_ester,4,-5.42,0.3744,5.091,23,Heneicosanoic_acid__methyl_ester_spores_entry_00001_conf_01,-87.0967,0.1239554317548746,0.5720653530825387,0.3480103924187066
61,Mecarbinzid,4,-6.68,0.6336,6.01,64,Mecarbinzid_spores_entry_00001_conf_01,-73.8081,0.29944289693593307,0.3944534885896746,0.34694819276280386
58,Theobromine,1,-6.81,0.8795,4.712,69,Theobromine_spores_entry_00001_conf_01,-72.3702,0.3175487465181057,0.37523490273756915,0.34639182462783746
81,9-Hexadecenoic_acid,6,-5.64,0.4814,4.594,31,9-Hexadecenoic_acid_spores_entry_00001_conf_01,-83.5742,0.15459610027855145,0.5249845625796932,0.3397903314291223
82,Oleic_acid__methyl_ester,6,-5.58,0.3612,4.921,35,Oleic_acid__methyl_ester_spores_entry_00001_conf_01,-83.0716,0.1462395543175487,0.5182669457431481,0.33225325003034845
89,Methoxyacetic_acid__heptadecyl_ester,1,-5.23,0.6061,5.527,24,Methoxyacetic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-86.4692,0.09749303621169918,0.5636783563357578,0.33058569627372847
65,Pirbuterol,3,-6.39,0.5417,4.021,63,Pirbuterol_spores_entry_00001_conf_01,-74.2602,0.25905292479108627,0.4004961359669171,0.3297745303790017
67,Theanine,8,-6.31,0.5076,4.028,61,Theanine_spores_entry_00001_conf_01,-74.7985,0.2479108635097492,0.40769090943112773,0.3278008864704385
66,Caffeine,4,-6.39,0.5807,4.148,66,Caffeine_spores_entry_00001_conf_01,-73.2396,0.25905292479108627,0.3868550700230692,0.32295399740707775
78,Phytol,4,-5.82,0.3499,4.839,46,Phytol_spores_entry_00001_conf_01,-78.9657,0.17966573816155987,0.46338858726887305,0.3215271627152165
63,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester,3,-6.62,0.6195,5.035,78,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores_entry_00001_conf_01,-70.2534,0.2910863509749303,0.3469423215206995,0.3190143362478149
84,Cyclobutanecarboxylic_acid__heptadecyl_ester,4,-5.55,0.2807,4.751,40,Cyclobutanecarboxylic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-81.1412,0.1420612813370473,0.4924657369463579,0.3172635091417026
68,Caffeic_acid,9,-6.28,0.3726,3.582,74,Caffeic_acid_spores_entry_00001_conf_01,-70.7982,0.2437325905292479,0.35422397224204794,0.2989782813856479
47,Piperazine__1_4-di_thiobenzoyl_-,1,-7.79,0.8969,6.278,95,Piperazine__1_4-di_thiobenzoyl_-_spores_entry_00001_conf_01,-55.0109,0.4540389972144846,0.14321515353216194,0.2986270753733233
60,2H-1-Benzopyran-2-one,1,-6.78,0.7805,3.696,88,2H-1-Benzopyran-2-one_spores_entry_00001_conf_01,-64.8167,0.31337047353760444,0.27427684707731537,0.2938236603074599
90,6-Heneicosen-11-one__Z_,3,-5.22,0.373,4.786,43,6-Heneicosen-11-one__Z__spores_entry_00001_conf_01,-80.5164,0.09610027855153196,0.4841148276756191,0.2901075531135755
72,Methyl_N-methylanthranilate,7,-6.01,0.5698,3.515,70,Methyl_N-methylanthranilate_spores_entry_00001_conf_01,-72.0559,0.2061281337047353,0.3710340532116516,0.28858109345819344
93,Oxirane___hexadecyloxy_methyl-,7,-5.13,0.3696,4.551,42,Oxirane___hexadecyloxy_methyl-_spores_entry_00001_conf_01,-80.5426,0.0835654596100278,0.48446500985054425,0.284015234730286
76,Undecanoic_acid__10-methyl-__methyl_ester,9,-5.86,0.4202,4.313,71,Undecanoic_acid__10-methyl-__methyl_ester_spores_entry_00001_conf_01,-71.9008,0.18523676880222842,0.3689610281990211,0.27709889850062475
75,Theophylline,4,-5.92,0.6828,4.197,72,Theophylline_spores_entry_00001_conf_01,-71.0871,0.19359331476323113,0.35808533217853417,0.27583932347088264
74,Vanillic_acid,3,-5.96,0.7287,3.797,77,Vanillic_acid_spores_entry_00001_conf_01,-70.3294,0.19916434540389966,0.3479581171426204,0.27356123127326004
71,2_3-Butanediol_glucoside,6,-6.09,0.5064,3.179,84,2_3-Butanediol_glucoside_spores_entry_00001_conf_01,-67.1603,0.21727019498607236,0.30560077628170695,0.26143548563388963
70,1-Oxacyclopentadecan-2-one__15-isopropenyl,8,-6.19,0.3769,4.629,87,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores_entry_00001_conf_01,-65.7275,0.23119777158774374,0.28645035566212507,0.2588240636249344
96,Benzene_acetic_acid__pentadecyl_ester,8,-4.94,0.389,4.672,49,Benzene_acetic_acid__pentadecyl_ester_spores_entry_00001_conf_01,-78.4555,0.05710306406685238,0.45656939087013587,0.2568362274684941
95,Z_Z-8_10-Hexadecadien-1-ol,5,-4.99,0.4351,4.352,51,Z_Z-8_10-Hexadecadien-1-ol_spores_entry_00001_conf_01,-77.7648,0.06406685236768801,0.4473376798693365,0.25570226611851227
92,Methyl-7-oxopentadecanoate,6,-5.17,0.4421,4.705,57,Methyl-7-oxopentadecanoate_spores_entry_00001_conf_01,-75.8153,0.08913649025069632,0.42128118559387945,0.2552088379222879
69,2_5-di-tert-Butylalanine,3,-6.19,0.5536,4.409,90,2_5-di-tert-Butylalanine_spores_entry_00001_conf_01,-64.1827,0.23119777158774374,0.2658029730733965,0.24850037233057012
83,Theacrine,9,-5.57,0.4562,3.906,79,Theacrine_spores_entry_00001_conf_01,-70.2031,0.14484679665738162,0.3462700252077704,0.24555841093257602
86,5-Hexenoic_acid___9-decen-2-yl__ester,6,-5.46,0.3974,4.451,75,5-Hexenoic_acid___9-decen-2-yl__ester_spores_entry_00001_conf_01,-70.7507,0.12952646239554313,0.3535890999783474,0.24155778118694526
64,Thujopsene-_12_,2,-6.49,0.584,4.575,94,Thujopsene-_12__spores_entry_00001_conf_01,-58.7849,0.27298050139275765,0.19365742559965354,0.2333189634962056
80,Fabianine,4,-5.78,0.6385,4.397,86,Fabianine_spores_entry_00001_conf_01,-66.0188,0.17409470752089135,0.2903437933550927,0.23221925043799202
85,2-Cyclohexylpiperidine,6,-5.51,0.6069,4.047,83,2-Cyclohexylpiperidine_spores_entry_00001_conf_01,-67.8116,0.13649025069637877,0.31430587744693134,0.22539806407165505
91,2-Octen-1-ol__3_7-dimethyl-,5,-5.19,0.5164,4.514,80,2-Octen-1-ol__3_7-dimethyl-_spores_entry_00001_conf_01,-70.1301,0.09192200557103065,0.34529432678145155,0.2186081661762411
79,Resorcinol,9,-5.79,0.6972,3.152,93,Resorcinol_spores_entry_00001_conf_01,-62.3896,0.17548746518105846,0.24183687926199776,0.2086621722215281
88,1-Decen-3-yne,6,-5.37,0.6575,4.633,89,1-Decen-3-yne_spores_entry_00001_conf_01,-64.7359,0.11699164345403897,0.27319689594243113,0.19509426969823504
94,1_2-Epoxynonane,9,-5.11,0.6201,3.62,91,1_2-Epoxynonane_spores_entry_00001_conf_01,-63.6525,0.0807799442896936,0.2587164620373118,0.1697482031635027
98,Piperidine__1-hydroxy-,2,-4.58,0.6743,3.261,96,Piperidine__1-hydroxy-_spores_entry_00001_conf_01,-54.381,0.006963788300835629,0.1347960790288994,0.07087993366486751
99,Propanol__2_2-dimethyl-__oxime,8,-4.53,0.645,3.387,97,Propanol__2_2-dimethyl-__oxime_spores_entry_00001_conf_01,-51.3775,0.0,0.09465210336522394,0.04732605168261197
97,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-,7,-4.74,0.6736,3.589,98,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores_entry_00001_conf_01,-44.2958,0.02924791086350974,0.0,0.01462395543175487
